1,1,Patient
2,1,Lifestyle
3,1,Prenatal
4,1,Birth
5,1,Postnatal
6,1,Dietary Habits
7,1,Baseline
8,1,Comorbidities
9,1,Signs
10,2,Timestamp
11,2,Age
12,2,Weight
13,2,Size
14,2,Waist
15,2,Body Mass Index
16,2,Blood Pressure
17,2,Fat Percentage
18,2,Heart Rate
19,2,Muscle Percentage
20,2,Visceral Fat
21,2,TANNER
22,3,Activity enjoyment
23,3,Musculoskeletal Injury
24,3,Evolution
25,3,Programmed Activity
26,3,Days per week
27,3,Minutes per seseson
28,3,Leg length
29,3,Shoe Size
30,3,Hand dominance
31,3,Basal O2 Sat Percentage
32,3,Basal HR
33,3,Basal BP
34,3,Basal disnea (BORG)
35,3,Basal Fatigue (BORG)
36,3,Gait recorded and saved
37,3,Comments
38,3,Number of laps
39,3,Distance walked
40,3,Step count
41,3,VO2 Max
42,3,6 min walk recorded
43,3,Comments
44,3,Final O2 sat
45,3,Final HR
46,3,Final BP
47,3,Final Disnea (BORG)
48,3,Final fatigue (BORG)
49,3,Dorgo Index
50,4,Glucose
51,4,Insulin
52,4,HDL
53,4,LDL
54,4,Triglycerides
55,4,ALT
56,4,AST
57,4,HOMA
58,4,LDL
59,4,HBA1C
60,5,Freq. Breakfast Week
61,5,Freq. Breakfast Weekend
62,5,Freq. Consumption of Fruit
63,5,Freq. Consumption of Vegetables
64,5,Freq. Consumption of Sweets
65,5,Freq. Consumption of Coke or Sugary Beverages
66,6,Walk Phase
67,6,Outlier [cad]?
68,6,Outlier [wspd]?
69,6,Step time
70,6,Step time Left
71,6,Step time Right
72,6,Cadence
73,6,Step length Left
74,6,Step length Right
75,6,Stride Length
76,6,Walking Speed
77,6,Froude
78,6,Beta
79,6,SDa
80,6,SDb
81,6,Ratio
82,6,Walk Ratio
83,6,Duty Factor - Double Stance Pct
84,6,Duty Factor - Single Stance Pct
85,7,Walk Phase
86,7,Outlier [cad]?
87,7,Outlier [wspd]?
88,7,Step time
89,7,Step time Left
90,7,Step time Right
91,7,Cadence
92,7,Step length Left
93,7,Step length Right
94,7,Stride Length
95,7,Walking Speed
96,7,Froude
97,7,Beta
98,7,SDa
99,7,SDb
100,7,Ratio
101,7,Walk Ratio
102,7,Duty Factor - Double Stance Pct
103,7,Duty Factor - Single Stance Pct
104,8,Walk Phase
105,8,Outlier [cad]?
106,8,Outlier [wspd]?
107,8,Step time
108,8,Step time Left
109,8,Step time Right
110,8,Cadence
111,8,Step length Left
112,8,Step length Right
113,8,Stride Length
114,8,Walking Speed
115,8,Froude
116,8,Beta
117,8,SDa
118,8,SDb
119,8,Ratio
120,8,Walk Ratio
121,8,Duty Factor - Double Stance Pct
122,8,Duty Factor - Single Stance Pct
123,9,Walk Phase
124,9,Outlier [cad]?
125,9,Outlier [wspd]?
126,9,Step time
127,9,Step time Left
128,9,Step time Right
129,9,Cadence
130,9,Step length Left
131,9,Step length Right
132,9,Stride Length
133,9,Walking Speed
134,9,Froude
135,9,Beta
136,9,SDa
137,9,SDb
138,9,Ratio
139,9,Walk Ratio
140,9,Duty Factor - Double Stance Pct
141,9,Duty Factor - Single Stance Pct
