,5450,101
,5451,70
,5452,82
,5453,91
,5454,88
,5455,95
,5456,92
,5457,99
,5458,88
,5459,86
,5460,93
,5461,94
,5462,93
,5463,94
,5464,98
,5465,80
,5466,94
,5467,70
,5468,68.5
,5469,67
,5470,69
,5471,74
,5472,78
,5473,75
,5474,86
,5475,71
,5476,76
,5477,10
,5478,11
,5479,9
,5480,9
,5481,11
,5482,9
,5483,10
,5484,11
,5485,10
,5486,10
,5487,10
,5488,11
,5489,11
,5490,9
,5491,10
,5492,11
,5493,10
,5494,10
,5495,11
,5496,7
,5497,8.5
,5498,7
,5499,9
,5500,8
,5501,8
,5502,11
,5503,9
,5504,11
,5505,11
,5506,9
,5507,9.75
,5508,10
,5509,10.75
,5510,11
,5511,8
,5512,9
,5513,8
,5514,8
,5515,9
,5516,10
,5517,5
,5518,10
,5519,10
,5520,8
,5521,8
,5522,11
